-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/11/2015 through 12/06/2017 in LST
Location: Latitude  28.6324   Longitude 77.2188 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,RH2M,PRECTOTCORR,WS10M
2015,1,11,0,7.33,-3.56,2.92,45.45,0.0,3.61
2015,1,11,1,6.59,-3.77,2.88,47.15,0.0,3.57
2015,1,11,2,5.91,-3.9,2.85,48.88,0.0,3.46
2015,1,11,3,5.32,-4.02,2.82,50.36,0.0,3.38
2015,1,11,4,4.84,-4.14,2.8,51.71,0.0,3.34
2015,1,11,5,4.4,-4.23,2.78,52.98,0.0,3.31
2015,1,11,6,4.05,-4.32,2.75,53.75,0.0,3.27
2015,1,11,7,6.62,-3.97,2.83,46.28,0.0,3.34
2015,1,11,8,9.86,-4.26,2.76,36.24,0.0,3.89
2015,1,11,9,13.36,-3.35,2.97,30.94,0.0,2.92
2015,1,11,10,17.98,-3.81,2.87,22.23,0.0,3.79
2015,1,11,11,20.82,-4.3,2.76,17.89,0.0,4.24
2015,1,11,12,22.4,-3.92,2.85,16.75,0.0,4.15
2015,1,11,13,23.24,-3.65,2.92,16.29,0.0,4.34
2015,1,11,14,23.22,-3.57,2.93,16.37,0.0,4.53
2015,1,11,15,21.75,-1.92,3.35,20.46,0.0,3.55
2015,1,11,16,16.55,1.68,4.34,36.65,0.0,2.9
2015,1,11,17,13.42,-0.38,3.73,38.58,0.0,3.14
2015,1,11,18,12.53,-1.09,3.53,38.73,0.0,3.03
2015,1,11,19,11.83,-1.76,3.36,38.64,0.0,2.9
2015,1,11,20,11.19,-2.38,3.2,38.4,0.0,2.8
2015,1,11,21,10.39,-3.11,3.04,38.48,0.0,2.81
2015,1,11,22,9.28,-3.46,2.96,40.35,0.0,2.96
2015,1,11,23,8.09,-3.77,2.89,42.69,0.0,3.16
2015,1,12,0,7.12,-3.93,2.85,44.98,0.0,3.32
2015,1,12,1,6.33,-4.16,2.79,46.48,0.0,3.46
2015,1,12,2,5.75,-4.46,2.73,47.32,0.0,3.32
2015,1,12,3,5.33,-4.72,2.67,47.64,0.0,3.08
2015,1,12,4,5.02,-4.94,2.62,47.78,0.0,2.95
2015,1,12,5,4.61,-5.03,2.6,48.81,0.0,3.06
2015,1,12,6,4.22,-4.97,2.61,50.4,0.0,3.28
2015,1,12,7,7.32,-3.66,2.9,45.2,0.0,3.07
2015,1,12,8,11.5,-4.04,2.81,33.08,0.0,3.99
2015,1,12,9,14.9,-2.75,3.11,29.32,0.0,2.64
2015,1,12,10,19.29,-3.48,2.94,20.98,0.0,2.95
2015,1,12,11,21.42,-4.01,2.82,17.63,0.0,2.03
2015,1,12,12,23.03,-4.58,2.7,15.29,0.0,1.35
2015,1,12,13,23.75,-4.68,2.68,14.52,0.0,0.91
2015,1,12,14,23.08,-4.48,2.72,15.33,0.0,0.49
2015,1,12,15,21.59,0.21,4.03,24.85,0.0,0.47
2015,1,12,16,18.04,0.14,3.9,29.98,0.0,1.71
2015,1,12,17,14.22,-0.92,3.59,35.24,0.0,2.78
2015,1,12,18,12.18,-1.07,3.54,39.73,0.0,3.36
2015,1,12,19,11.06,-1.42,3.45,41.73,0.0,3.52
2015,1,12,20,10.21,-1.59,3.4,43.55,0.0,3.43
2015,1,12,21,9.57,-1.73,3.36,44.94,0.0,3.23
2015,1,12,22,9.02,-1.94,3.31,45.92,0.0,3.1
2015,1,12,23,8.55,-2.17,3.26,46.68,0.0,2.97
2015,1,13,0,8.12,-2.36,3.21,47.31,0.0,2.87
2015,1,13,1,7.95,-2.54,3.17,47.25,0.0,2.66
2015,1,13,2,7.81,-2.62,3.15,47.38,0.0,2.44
2015,1,13,3,7.74,-2.83,3.1,46.82,0.0,2.07
2015,1,13,4,7.41,-3.0,3.06,47.26,0.0,1.83
2015,1,13,5,6.7,-3.07,3.04,49.32,0.0,1.85
2015,1,13,6,5.77,-2.94,3.07,53.14,0.0,2.03
2015,1,13,7,6.54,-1.77,3.37,55.32,0.0,2.01
2015,1,13,8,9.76,-1.62,3.4,44.86,0.0,2.49
2015,1,13,9,12.65,-1.12,3.52,38.35,0.0,1.86
2015,1,13,10,17.2,-1.26,3.49,28.35,0.0,2.64
2015,1,13,11,20.42,-3.29,2.99,19.85,0.0,3.39
2015,1,13,12,21.41,-3.77,2.88,17.97,0.0,3.7
2015,1,13,13,21.66,-3.94,2.85,17.49,0.0,4.06
2015,1,13,14,21.31,-3.88,2.86,17.92,0.0,4.25
2015,1,13,15,19.5,-1.39,3.49,24.44,0.0,3.11
2015,1,13,16,14.87,0.86,4.09,38.39,0.0,3.03
2015,1,13,17,12.23,-0.57,3.68,41.06,0.0,3.47
2015,1,13,18,11.46,-1.01,3.56,41.82,0.0,3.55
2015,1,13,19,10.89,-1.39,3.46,42.24,0.0,3.63
2015,1,13,20,10.47,-1.71,3.38,42.44,0.0,3.68
2015,1,13,21,10.19,-1.91,3.33,42.59,0.0,3.7
2015,1,13,22,10.36,-1.88,3.34,42.21,0.0,3.65
2015,1,13,23,10.11,-1.82,3.35,43.03,0.0,3.55
2015,1,14,0,9.64,-1.53,3.43,45.46,2.08,3.44
2015,1,14,1,9.09,-0.78,3.63,49.91,2.09,3.24
2015,1,14,2,8.62,-0.3,3.76,53.35,2.09,3.09
2015,1,14,3,8.58,0.1,3.87,55.03,0.0,2.88
2015,1,14,4,8.26,0.09,3.87,56.23,0.0,2.71
2015,1,14,5,8.06,0.03,3.85,56.73,0.01,2.76
2015,1,14,6,7.81,0.05,3.85,57.75,0.02,2.63
2015,1,14,7,8.78,-0.07,3.82,53.68,0.05,3.25
2015,1,14,8,10.14,-0.01,3.83,49.16,0.13,3.15
2015,1,14,9,12.37,0.56,3.99,44.2,0.17,2.42
2015,1,14,10,15.28,0.19,3.89,35.67,0.55,1.89
2015,1,14,11,17.59,-0.42,3.72,29.44,2.91,1.87
2015,1,14,12,18.39,-0.17,3.79,28.51,4.08,1.96
2015,1,14,13,18.59,0.23,3.9,28.96,12.25,2.58
2015,1,14,14,18.38,0.74,4.05,30.47,5.84,2.9
2015,1,14,15,17.19,3.57,4.99,40.44,7.31,2.09
2015,1,14,16,13.8,5.23,5.58,56.21,4.6,2.33
2015,1,14,17,11.47,4.02,5.12,60.16,0.67,2.99
2015,1,14,18,10.49,4.29,5.21,65.38,0.39,3.24
2015,1,14,19,9.66,4.88,5.43,72.06,0.39,3.25
2015,1,14,20,8.83,5.57,5.69,79.85,0.13,3.19
2015,1,14,21,8.11,5.96,5.85,86.19,0.02,3.04
2015,1,14,22,7.43,6.02,5.88,90.74,0.0,2.8
2015,1,14,23,6.95,5.88,5.82,92.8,0.0,2.57
2015,1,15,0,7.19,5.65,5.72,89.72,0.0,2.05
2015,1,15,1,7.54,5.47,5.65,86.52,0.0,1.61
2015,1,15,2,7.13,5.4,5.63,88.66,0.0,1.68
2015,1,15,3,6.19,5.39,5.63,94.56,0.0,2.03
2015,1,15,4,5.42,5.39,5.63,99.77,0.0,2.24
2015,1,15,5,4.9,5.38,5.61,100.0,0.0,2.33
2015,1,15,6,4.48,5.37,5.61,100.0,0.0,2.42
2015,1,15,7,6.55,5.86,5.8,95.21,0.0,2.52
2015,1,15,8,8.81,6.4,6.02,84.74,0.0,2.85
2015,1,15,9,12.12,6.35,6.0,67.75,0.0,2.48
2015,1,15,10,16.3,3.74,4.99,43.0,0.0,2.6
2015,1,15,11,18.16,3.66,4.97,38.04,0.0,2.6
2015,1,15,12,19.16,3.71,4.99,35.85,0.0,2.91
2015,1,15,13,19.55,3.61,4.96,34.75,0.0,3.22
2015,1,15,14,19.48,3.42,4.9,34.47,0.0,3.26
2015,1,15,15,18.73,3.46,4.91,36.18,0.0,2.89
2015,1,15,16,15.29,5.09,5.52,50.56,0.0,2.1
2015,1,15,17,12.82,3.76,5.02,54.02,0.0,2.51
2015,1,15,18,11.85,3.36,4.87,55.89,0.0,2.69
2015,1,15,19,10.96,3.16,4.8,58.46,0.0,2.85
2015,1,15,20,10.14,3.21,4.82,62.02,0.0,3.02
2015,1,15,21,9.43,3.4,4.88,65.86,0.0,3.14
2015,1,15,22,8.78,3.69,4.99,70.34,0.0,3.21
2015,1,15,23,8.2,4.07,5.12,75.02,0.0,3.22
2015,1,16,0,7.64,4.48,5.28,80.34,0.0,3.16
2015,1,16,1,7.13,4.86,5.42,85.37,0.0,3.09
2015,1,16,2,6.65,5.17,5.54,90.14,0.0,3.02
2015,1,16,3,6.19,5.4,5.63,94.53,0.0,2.95
2015,1,16,4,5.77,5.57,5.7,98.53,0.0,2.96
2015,1,16,5,5.42,5.69,5.74,100.0,0.0,2.98
2015,1,16,6,5.15,5.77,5.77,100.0,0.0,2.95
2015,1,16,7,7.76,5.85,5.8,87.62,0.0,3.29
2015,1,16,8,10.52,5.99,5.85,73.42,0.0,3.28
2015,1,16,9,14.66,6.17,5.92,56.64,0.0,2.93
2015,1,16,10,18.23,5.78,5.76,43.9,0.0,2.82
